Company Name,Street,PO Box,City,State,Street Zip Code,PO Box Zip Code,,Selected Customer,
Company Name,Street,PO Box,City,State,Street Zip Code,PO Box Zip Code,,='TC FORM'!B2,Customer
"3P PROCESSING, INC.",1702 S. KNIGHT,,WICHITA,KS,67213,,,"=VLOOKUP(I2, A3:G448,2, FALSE)",St. Address
"AADFW, INC.",1350 WESTPARK WAY,,EULESS,TX,76040,,,"=VLOOKUP(I$2, A$3:G$448,3, FALSE)",PO Box
ABSOLUTE DIMENSIONS,3838 W. MAY ST.,,WICHITA,KS,67213,,,"=VLOOKUP(I$2, A$3:G$448,4, FALSE)",City
"ACCURUS AEROSPACE WICHITA, LLC",4011 E. 31 ST. SOUTH,,WICHITA,KS,67210,,,"=VLOOKUP(I$2, A$3:G$448,5, FALSE)",State
"AERO METAL FORMS, INC.",2649 ESTHNER COURT,,WICHITA,KS,67213,,,"=VLOOKUP(I$2, A$3:G$448,6, FALSE)",Street Zip
AEROSPACE SYSTEMS & COMPONENTS,5201 E. 36TH ST. N.,,WICHITA,KS,67220-3206,,,"=VLOOKUP(I$2, A$3:G$448,7, FALSE)",PO Box Zip
"AERO-TECH ENGINEERING, INC.",5555 N 119TH ST W,,MAIZE,KS,67101,,,3rd line concatenation,
AIRTECH SUPPLY,3058 HIGHWAY 290,,HOT SPRINGS,AR,71913,,,"=CONCATENATE(I5,"", "",I6,"" "",I7)",
ALLTITE,1600 E. MURDOCK ST.,,WICHITA,KS,67214,,,,
"AMETEK ADVANCED INDUSTRIES, INC.",4550 SOUTHEAST BOULEVARD,,WICHITA,KS,,67216,,,
"AMETEK B & S AIRCRAFT PARTS & ACC., INC.",1414 S. MOSLEY,,WICHITA,KS,67211-3387,,,,
APEX COMPOSITES - OKLAHOMA DIV.,414 CHAMBER LOOP,,ADA,OK,74821,,,,
APEX ENGINEERING - WICHITA DIV.,1804 WEST 2ND STREET,,WICHITA,KS,67203-5703,,,,
AVIATION CONSULTING & ENGINEERING SOL,202 NORTH PARK,,MAIZE,KS,67101,,,,
