,CAL DATE:,2022-12-22 00:00:00,DUE:,2023-12-22 00:00:00,,,,mvDC,°F,,,,,,
,,,,,,32°F,Icebath,31.778,"=IF(H2<>'Update Standards'!I18,32,'ST-7'!B35)",32,,,,,
,,,,,,,SP-2,0.0001,"=IF(H2<>'Update Standards'!I18,'Type S'!B1511+formulas!A96,'Type S'!B1511)",=J3-J2+K2,,,,,
,,mvDC,°F,,,,,,,,,,,,
-50°F,PRT (in °F),,=C5,-50,,200°F,ST-7,0.5933,='ST-7'!B28,200,NOTE: PRINT CERT USING PAGE 43.,,,,
,TTS-1,,='Type T'!B6,=D6-C5+E5,,,SP-2,0.5923,='Type S'!B1512,=J6-J5+K5,,,,,
,,,,,,,,,,,,,,,
32°F,PRT (in °F),,=C8,32,,400°F,=H5,1.4742,='ST-7'!B29,400,,,,,
,=B6,,='Type T'!B4,=D9-C8+E8,,,=H6,1.4735,='Type S'!B1513,=J9-J8+K8,,,,,
,,,,,,,,,,,,,,,
120°F,PRT (in °F),,=C11,120,,600°F,=H8,2.4642,='ST-7'!B30,600,,,,,
,=B9,,='Type T'!B5,=D12-C11+E11,,,=H9,2.4638,='Type S'!B1514,=J12-J11+K11,,,,,
,,,,,,,,,,,,,,,
32°F,,,=formulas!F347,32,,800°F,=H11,3.5162,='ST-7'!B31,800,,,,,
,NTS-11,,='Type N'!B4,=D15-D14+E14,,,SP-2,3.5154,='Type S'!B1515,=J15-J14+K14,,,,,
,,,,,,,,,,,,,,,
70°F,,,"=IF(ISERROR(SEARCH(""PRT"",B17)),formulas!F348,C17)",70,,1000°F,=H14,4.611,='ST-7'!B33,1000,,,,,
,=B15,,='Type N'!B5,=D18-D17+E17,,,=H15,4.6085,='Type S'!B1516,=J18-J17+K17,,,,,
,,,,,,,,,,,,,,,
200°F,=B14,,=formulas!F349,200,,1200°F,=H14,5.7377,='ST-7'!B34,1200,,,,,
,=B15,,='Type N'!B6,=D21-D20+E20,,,=H18,5.7339,='Type S'!B1517,=J21-J20+K20,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
