,,,,,,,,,,,,Temp(F),mV
mV,Temp(F),,,,,,,,,,,-454,-9.835
=formulas!O90,=(A3-D3)/(E3-D3)*(G3-F3)+F3,"=COUNTIF($N$2:$N$25400,""<""&A3)","=INDIRECT(ADDRESS(C3+1,14))","=INDIRECT(ADDRESS(C3+2,14))","=INDIRECT(ADDRESS(C3+1,13))","=INDIRECT(ADDRESS(C3+2,13))",,,,,,-453,-9.834
7,=(A4-D4)/(E4-D4)*(G4-F4)+F4,"=COUNTIF($N$2:$N$25400,""<""&A4)","=INDIRECT(ADDRESS(C4+1,14))","=INDIRECT(ADDRESS(C4+2,14))","=INDIRECT(ADDRESS(C4+1,13))","=INDIRECT(ADDRESS(C4+2,13))",,,,,,-452,-9.833
=formulas!O92,=(A5-D5)/(E5-D5)*(G5-F5)+F5,"=COUNTIF($N$2:$N$25400,""<""&A5)","=INDIRECT(ADDRESS(C5+1,14))","=INDIRECT(ADDRESS(C5+2,14))","=INDIRECT(ADDRESS(C5+1,13))","=INDIRECT(ADDRESS(C5+2,13))",,,,,,-451,-9.832
7,=(A6-D6)/(E6-D6)*(G6-F6)+F6,"=COUNTIF($N$2:$N$25400,""<""&A6)","=INDIRECT(ADDRESS(C6+1,14))","=INDIRECT(ADDRESS(C6+2,14))","=INDIRECT(ADDRESS(C6+1,13))","=INDIRECT(ADDRESS(C6+2,13))",,,,,,-450,-9.83
=formulas!O94,=(A7-D7)/(E7-D7)*(G7-F7)+F7,"=COUNTIF($N$2:$N$25400,""<""&A7)","=INDIRECT(ADDRESS(C7+1,14))","=INDIRECT(ADDRESS(C7+2,14))","=INDIRECT(ADDRESS(C7+1,13))","=INDIRECT(ADDRESS(C7+2,13))",,,,,,-449,-9.829
7,=(A8-D8)/(E8-D8)*(G8-F8)+F8,"=COUNTIF($N$2:$N$25400,""<""&A8)","=INDIRECT(ADDRESS(C8+1,14))","=INDIRECT(ADDRESS(C8+2,14))","=INDIRECT(ADDRESS(C8+1,13))","=INDIRECT(ADDRESS(C8+2,13))",,,,,,-448,-9.827
=formulas!O96,=(A9-D9)/(E9-D9)*(G9-F9)+F9,"=COUNTIF($N$2:$N$25400,""<""&A9)","=INDIRECT(ADDRESS(C9+1,14))","=INDIRECT(ADDRESS(C9+2,14))","=INDIRECT(ADDRESS(C9+1,13))","=INDIRECT(ADDRESS(C9+2,13))",,,,,,-447,-9.825
7,=(A10-D10)/(E10-D10)*(G10-F10)+F10,"=COUNTIF($N$2:$N$25400,""<""&A10)","=INDIRECT(ADDRESS(C10+1,14))","=INDIRECT(ADDRESS(C10+2,14))","=INDIRECT(ADDRESS(C10+1,13))","=INDIRECT(ADDRESS(C10+2,13))",,,,,,-446,-9.823
=formulas!O98,=(A11-D11)/(E11-D11)*(G11-F11)+F11,"=COUNTIF($N$2:$N$25400,""<""&A11)","=INDIRECT(ADDRESS(C11+1,14))","=INDIRECT(ADDRESS(C11+2,14))","=INDIRECT(ADDRESS(C11+1,13))","=INDIRECT(ADDRESS(C11+2,13))",,,,,,-445,-9.821
7,=(A12-D12)/(E12-D12)*(G12-F12)+F12,"=COUNTIF($N$2:$N$25400,""<""&A12)","=INDIRECT(ADDRESS(C12+1,14))","=INDIRECT(ADDRESS(C12+2,14))","=INDIRECT(ADDRESS(C12+1,13))","=INDIRECT(ADDRESS(C12+2,13))",,,,,,-444,-9.819
=formulas!O100,=(A13-D13)/(E13-D13)*(G13-F13)+F13,"=COUNTIF($N$2:$N$25400,""<""&A13)","=INDIRECT(ADDRESS(C13+1,14))","=INDIRECT(ADDRESS(C13+2,14))","=INDIRECT(ADDRESS(C13+1,13))","=INDIRECT(ADDRESS(C13+2,13))",,,,,,-443,-9.817
7,=(A14-D14)/(E14-D14)*(G14-F14)+F14,"=COUNTIF($N$2:$N$25400,""<""&A14)","=INDIRECT(ADDRESS(C14+1,14))","=INDIRECT(ADDRESS(C14+2,14))","=INDIRECT(ADDRESS(C14+1,13))","=INDIRECT(ADDRESS(C14+2,13))",,,,,,-442,-9.814
=formulas!O102,=(A15-D15)/(E15-D15)*(G15-F15)+F15,"=COUNTIF($N$2:$N$25400,""<""&A15)","=INDIRECT(ADDRESS(C15+1,14))","=INDIRECT(ADDRESS(C15+2,14))","=INDIRECT(ADDRESS(C15+1,13))","=INDIRECT(ADDRESS(C15+2,13))",,,,,,-441,-9.812
7,=(A16-D16)/(E16-D16)*(G16-F16)+F16,"=COUNTIF($N$2:$N$25400,""<""&A16)","=INDIRECT(ADDRESS(C16+1,14))","=INDIRECT(ADDRESS(C16+2,14))","=INDIRECT(ADDRESS(C16+1,13))","=INDIRECT(ADDRESS(C16+2,13))",,,,,,-440,-9.809
=formulas!O104,=(A17-D17)/(E17-D17)*(G17-F17)+F17,"=COUNTIF($N$2:$N$25400,""<""&A17)","=INDIRECT(ADDRESS(C17+1,14))","=INDIRECT(ADDRESS(C17+2,14))","=INDIRECT(ADDRESS(C17+1,13))","=INDIRECT(ADDRESS(C17+2,13))",,,,,,-439,-9.806
7,=(A18-D18)/(E18-D18)*(G18-F18)+F18,"=COUNTIF($N$2:$N$25400,""<""&A18)","=INDIRECT(ADDRESS(C18+1,14))","=INDIRECT(ADDRESS(C18+2,14))","=INDIRECT(ADDRESS(C18+1,13))","=INDIRECT(ADDRESS(C18+2,13))",,,,,,-438,-9.803
=formulas!O106,=(A19-D19)/(E19-D19)*(G19-F19)+F19,"=COUNTIF($N$2:$N$25400,""<""&A19)","=INDIRECT(ADDRESS(C19+1,14))","=INDIRECT(ADDRESS(C19+2,14))","=INDIRECT(ADDRESS(C19+1,13))","=INDIRECT(ADDRESS(C19+2,13))",,,,,,-437,-9.8
7,=(A20-D20)/(E20-D20)*(G20-F20)+F20,"=COUNTIF($N$2:$N$25400,""<""&A20)","=INDIRECT(ADDRESS(C20+1,14))","=INDIRECT(ADDRESS(C20+2,14))","=INDIRECT(ADDRESS(C20+1,13))","=INDIRECT(ADDRESS(C20+2,13))",,,,,,-436,-9.797
