,,,,,,,,,,,,Temp(F),mV
mV,Temp(F),,,,,,,,,,,-454,-6.258
=formulas!D92,=(A3-D3)/(E3-D3)*(G3-F3)+F3,"=COUNTIF($N$2:$N$25400,""<""&A3)","=INDIRECT(ADDRESS(C3+1,14))","=INDIRECT(ADDRESS(C3+2,14))","=INDIRECT(ADDRESS(C3+1,13))","=INDIRECT(ADDRESS(C3+2,13))",,,,,,-453,-6.257
='SP-3Calibration'!C9,=(A4-D4)/(E4-D4)*(G4-F4)+F4,"=COUNTIF($N$2:$N$25400,""<""&A4)","=INDIRECT(ADDRESS(C4+1,14))","=INDIRECT(ADDRESS(C4+2,14))","=INDIRECT(ADDRESS(C4+1,13))","=INDIRECT(ADDRESS(C4+2,13))",,,,,,-452,-6.256
='SP-3Calibration'!C12,=(A5-D5)/(E5-D5)*(G5-F5)+F5,"=COUNTIF($N$2:$N$25400,""<""&A5)","=INDIRECT(ADDRESS(C5+1,14))","=INDIRECT(ADDRESS(C5+2,14))","=INDIRECT(ADDRESS(C5+1,13))","=INDIRECT(ADDRESS(C5+2,13))",,,,,,-451,-6.255
='SP-3Calibration'!C6,=(A6-D6)/(E6-D6)*(G6-F6)+F6,"=COUNTIF($N$2:$N$25400,""<""&A6)","=INDIRECT(ADDRESS(C6+1,14))","=INDIRECT(ADDRESS(C6+2,14))","=INDIRECT(ADDRESS(C6+1,13))","=INDIRECT(ADDRESS(C6+2,13))",,,,,,-450,-6.254
0,=(A7-D7)/(E7-D7)*(G7-F7)+F7,"=COUNTIF($N$2:$N$25400,""<""&A7)","=INDIRECT(ADDRESS(C7+1,14))","=INDIRECT(ADDRESS(C7+2,14))","=INDIRECT(ADDRESS(C7+1,13))","=INDIRECT(ADDRESS(C7+2,13))",,,,,,-449,-6.253
0,=(A8-D8)/(E8-D8)*(G8-F8)+F8,"=COUNTIF($N$2:$N$25400,""<""&A8)","=INDIRECT(ADDRESS(C8+1,14))","=INDIRECT(ADDRESS(C8+2,14))","=INDIRECT(ADDRESS(C8+1,13))","=INDIRECT(ADDRESS(C8+2,13))",,,,,,-448,-6.252
0,=(A9-D9)/(E9-D9)*(G9-F9)+F9,"=COUNTIF($N$2:$N$25400,""<""&A9)","=INDIRECT(ADDRESS(C9+1,14))","=INDIRECT(ADDRESS(C9+2,14))","=INDIRECT(ADDRESS(C9+1,13))","=INDIRECT(ADDRESS(C9+2,13))",,,,,,-447,-6.251
0,=(A10-D10)/(E10-D10)*(G10-F10)+F10,"=COUNTIF($N$2:$N$25400,""<""&A10)","=INDIRECT(ADDRESS(C10+1,14))","=INDIRECT(ADDRESS(C10+2,14))","=INDIRECT(ADDRESS(C10+1,13))","=INDIRECT(ADDRESS(C10+2,13))",,,,,,-446,-6.25
0,=(A11-D11)/(E11-D11)*(G11-F11)+F11,"=COUNTIF($N$2:$N$25400,""<""&A11)","=INDIRECT(ADDRESS(C11+1,14))","=INDIRECT(ADDRESS(C11+2,14))","=INDIRECT(ADDRESS(C11+1,13))","=INDIRECT(ADDRESS(C11+2,13))",,,,,,-445,-6.248
0,=(A12-D12)/(E12-D12)*(G12-F12)+F12,"=COUNTIF($N$2:$N$25400,""<""&A12)","=INDIRECT(ADDRESS(C12+1,14))","=INDIRECT(ADDRESS(C12+2,14))","=INDIRECT(ADDRESS(C12+1,13))","=INDIRECT(ADDRESS(C12+2,13))",,,,,,-444,-6.247
0,=(A13-D13)/(E13-D13)*(G13-F13)+F13,"=COUNTIF($N$2:$N$25400,""<""&A13)","=INDIRECT(ADDRESS(C13+1,14))","=INDIRECT(ADDRESS(C13+2,14))","=INDIRECT(ADDRESS(C13+1,13))","=INDIRECT(ADDRESS(C13+2,13))",,,,,,-443,-6.245
0,=(A14-D14)/(E14-D14)*(G14-F14)+F14,"=COUNTIF($N$2:$N$25400,""<""&A14)","=INDIRECT(ADDRESS(C14+1,14))","=INDIRECT(ADDRESS(C14+2,14))","=INDIRECT(ADDRESS(C14+1,13))","=INDIRECT(ADDRESS(C14+2,13))",,,,,,-442,-6.243
0,=(A15-D15)/(E15-D15)*(G15-F15)+F15,"=COUNTIF($N$2:$N$25400,""<""&A15)","=INDIRECT(ADDRESS(C15+1,14))","=INDIRECT(ADDRESS(C15+2,14))","=INDIRECT(ADDRESS(C15+1,13))","=INDIRECT(ADDRESS(C15+2,13))",,,,,,-441,-6.242
0,=(A16-D16)/(E16-D16)*(G16-F16)+F16,"=COUNTIF($N$2:$N$25400,""<""&A16)","=INDIRECT(ADDRESS(C16+1,14))","=INDIRECT(ADDRESS(C16+2,14))","=INDIRECT(ADDRESS(C16+1,13))","=INDIRECT(ADDRESS(C16+2,13))",,,,,,-440,-6.24
0,=(A17-D17)/(E17-D17)*(G17-F17)+F17,"=COUNTIF($N$2:$N$25400,""<""&A17)","=INDIRECT(ADDRESS(C17+1,14))","=INDIRECT(ADDRESS(C17+2,14))","=INDIRECT(ADDRESS(C17+1,13))","=INDIRECT(ADDRESS(C17+2,13))",,,,,,-439,-6.238
0,=(A18-D18)/(E18-D18)*(G18-F18)+F18,"=COUNTIF($N$2:$N$25400,""<""&A18)","=INDIRECT(ADDRESS(C18+1,14))","=INDIRECT(ADDRESS(C18+2,14))","=INDIRECT(ADDRESS(C18+1,13))","=INDIRECT(ADDRESS(C18+2,13))",,,,,,-438,-6.236
